,label,code,oh
0,Unknown,-1,0
1,Sleeping sack,49,1
2,Swimsuit,57,2
3,Swimwear bottom,59,3
4,Swimwear top,60,4
5,Bag,66,5
6,Belt,67,6
7,Bracelet,68,7
8,Cap/peaked,69,8
9,Earring,70,9
10,Gloves,71,10
11,Hair clip,72,11
12,Hair string,73,12
13,Hair/alice band,74,13
14,Hat/beanie,75,14
15,Hat/brim,76,15
16,Necklace,77,16
17,Other accessories,78,17
18,Ring,79,18
19,Scarf,80,19
20,Sunglasses,81,20
21,Tie,82,21
22,Umbrella,83,22
23,Wallet,84,23
24,Watch,85,24
25,Ballerinas,86,25
26,Boots,87,26
27,Flip flop,88,27
28,Other shoe,89,28
29,Pumps,90,29
30,Sandals,91,30
31,Heeled sandals,92,31
32,Slippers,93,32
33,Sneakers,94,33
34,Wedge,95,34
35,Chem. cosmetics,96,35
36,Fine cosmetics,98,36
37,Bootie,100,37
38,Moccasins,102,38
39,Flat shoe,144,39
40,Soft Toys,155,40
41,Waterbottle,156,41
42,Giftbox,161,42
43,Sleep Bag,196,43
44,Heels,230,44
45,Dog Wear,231,45
46,Cardigan,245,46
47,Sweater,252,47
48,Vest top,253,48
49,Top,254,49
50,T-shirt,255,50
51,Bodysuit,256,51
52,Polo shirt,257,52
53,Blouse,258,53
54,Shirt,259,54
55,Tailored Waistcoat,260,55
56,Outdoor Waistcoat,261,56
57,Jacket,262,57
58,Coat,263,58
59,Blazer,264,59
60,Dress,265,60
61,Jumpsuit/Playsuit,267,61
62,Dungarees,268,62
63,Garment Set,270,63
64,Outdoor overall,271,64
65,Trousers,272,65
66,Leggings/Tights,273,66
67,Shorts,274,67
68,Skirt,275,68
69,Outdoor trousers,276,69
70,Costumes,277,70
71,Underwear body,283,71
72,Underwear corset,284,72
73,Underdress,285,73
74,Underwear bottom,286,74
75,Long John,287,75
76,Underwear set,288,76
77,Nipple covers,289,77
78,Bra extender,291,78
79,Night gown,293,79
80,Pyjama jumpsuit/playsuit,295,80
81,Pyjama bottom,296,81
82,Pyjama set,297,82
83,Bikini top,298,83
84,Swimwear set,299,84
85,Sarong,300,85
86,Socks,302,86
87,Leg warmers,303,87
88,Underwear Tights,304,88
89,Robe,305,89
90,Bra,306,90
91,Kids Underwear top,307,91
92,Hoodie,308,92
93,Side table,326,93
94,Blanket,349,94
95,Cushion,351,95
96,Towel,366,96
97,Toy,389,97
98,Pre-walkers,464,98
99,Flat shoes,465,99
100,Backpack,467,100
101,Bumbag,468,101
102,Cross-body bag,470,102
103,Tote bag,475,103
104,Shoulder bag,476,104
105,Weekend/Gym bag,477,105
106,Clothing mist,483,106
107,Sewing kit,489,107
108,Stain remover spray,491,108
109,Washing bag,492,109
110,Wood balls,493,110
111,Accessories set,494,111
112,Alice band,495,112
113,Beanie,496,113
114,Baby Bib,498,114
115,Braces,499,115
116,Bucket hat,503,116
117,Cap,504,117
118,Earrings,508,118
119,Felt hat,509,119
120,Eyeglasses,510,120
121,Hairband,511,121
122,Hair ties,512,122
123,Headband,514,123
124,Straw hat,515,124
125,Dog wear,521,125
126,Wireless earphone case,523,126
127,Keychain,525,127
128,Mobile case,529,128
129,Umbrella,532,129
130,Marker pen,761,130
131,Zipper head,762,131
